Name,Ticker,"Sub-Sector","Market Cap"
Transformers and Rectifiers (India) Ltd,TARIL,"Heavy Electrical Equipments","8662.78596924"
Nesco Ltd,NESCO,"Real Estate","8617.253108"
TTK Prestige Ltd,TTKPRESTIG,"Home Electronics & Appliances","8558.75174508"
Ashapura Minechem Ltd,ASHAPURMIN,"Metals - Diversified","8549.108140510001"
Westlife Foodworld Ltd,WESTLIFE,"Restaurants & Cafes","8446.54023094"
BHARAT Bond ETF-April 2030-Growth,EBBETF0430,"Debt","8431.986911616"
Strides Pharma Science Ltd,STAR,"Pharmaceuticals","8397.39510897"
Bharat Bond ETF - April 2023,EBBETF0423,"Debt","8369.700871194"
P N Gadgil Jewellers Ltd,PNGJL,"Precious Metals, Jewellery & Watches","8364.383104455"
Mahindra Lifespace Developers Ltd,MAHLIFE,"Real Estate","8352.319576214999"
Corona Remedies Ltd,CORONA,"Pharmaceuticals","8346.517209360001"
Birla Corporation Ltd,BIRLACORPN,"Cement","8288.08549761"
BHARAT Bond ETF-April 2032,BBETF0432,"Debt","8286.718720878"
Orkla India Ltd,ORKLAINDIA,"Packaged Foods & Meats","8274.83443815"
Religare Enterprises Ltd,RELIGARE,"Investment Banking & Brokerage","8246.640031536"
KPI Green Energy Ltd,KPIGREEN,"Renewable Energy","8217.28227972"
Transport Corporation of India Ltd,TCI,"Logistics","8215.925767960001"
Powergrid Infrastructure Investment Trust,PGINVIT,"Power Transmission & Distribution","8183.6228056"
Arvind Ltd,ARVIND,"Apparel & Accessories","8138.659572"
Marksans Pharma Ltd,MARKSANS,"Pharmaceuticals","8109.8183984160005"
Sapphire Foods India Ltd,SAPPHIRE,"Restaurants & Cafes","8097.5636743800005"
Alkyl Amines Chemicals Ltd,ALKYLAMINE,"Specialty Chemicals","8086.897502239999"
Alok Industries Ltd,ALOKINDS,"Textiles","8083.411372828"
WeWork India Management Ltd,WEWORK,"Real Estate","8030.67367928"
Transrail Lighting Ltd,TRANSRAILL,"Power Infrastructure","8030.524135375"
Ethos Ltd,ETHOSLTD,"Precious Metals, Jewellery & Watches","8024.6321307"
Va Tech Wabag Ltd,WABAG,"Water Management","8011.4266072"
Tamilnad Mercantile Bank Ltd,TMB,"Private Banks","7995.164912460001"
Campus Activewear Ltd,CAMPUS,"Apparel & Accessories","7989.6181818"
Inox Green Energy Services Ltd,INOXGREEN,"Heavy Electrical Equipments","7933.264740139999"
Tejas Networks Ltd,TEJASNET,"Telecom Equipments","7932.559718375"
Bengal & Assam Company Ltd,BENGALASM,"Diversified Financials","7926.8501949"
GMR Power and Urban Infra Ltd,GMRP&UI,"Power Generation","7926.818555266001"
Voltamp Transformers Ltd,VOLTAMP,"Heavy Electrical Equipments","7868.59008"
Manorama Industries Ltd,MANORAMA,"Packaged Foods & Meats","7852.8658656"
Rashtriya Chemicals and Fertilizers Ltd,RCF,"Fertilizers & Agro Chemicals","7827.9024509"
ELANTAS Beck India Ltd,ELANTAS,"Electrical Components & Equipments","7809.718091839999"
Jayaswal Neco Industries Ltd,JAYNECOIND,"Iron & Steel","7774.782939708"
Dilip Buildcon Ltd,DBL,"Construction & Engineering","7746.181861605"
Lloyds Engineering Works Ltd,LLOYDSENGG,"Industrial Machinery","7743.935198130001"
Sharda Cropchem Ltd,SHARDACROP,"Fertilizers & Agro Chemicals","7737.3096512"
Sri Lotus Developers and Realty Ltd,LOTUSDEV,"Real Estate","7686.64651088"
Indian Metals and Ferro Alloys Ltd,IMFA,"Iron & Steel","7673.89249638"
Borosil Renewables Ltd,BORORENEW,"Housewares","7673.236431075"
Karnataka Bank Ltd,KTKBANK,"Private Banks","7649.401018776"
Kirloskar Ferrous Industries Ltd,KIRLFER,"Iron & Steel","7629.507125239999"
Rategain Travel Technologies Ltd,RATEGAIN,"Software Services","7623.252046925"
Pricol Ltd,PRICOLLTD,"Auto Parts","7585.904435519999"
Bluestone Jewellery and Lifestyle Ltd,BLUESTONE,"Precious Metals, Jewellery & Watches","7464.6339507600005"
Moil Ltd,MOIL,"Mining - Manganese","7424.157923335"
Power Mech Projects Ltd,POWERMECH,"Construction & Engineering","7408.961867280001"
Sudarshan Chemical Industries Ltd,SUDARSCHEM,"Diversified Chemicals","7402.099893760001"
Max Estates Ltd,MAXESTATES,"Real Estate","7401.01900428"
Dodla Dairy Ltd,DODLA,"FMCG - Foods","7392.56971486"
Maharashtra Seamless Ltd,MAHSEAMLES,"Building Products - Pipes","7386.038770239999"
Diamond Power Infrastructure Ltd,DIACABS,"Electrical Components & Equipments","7373.906042580001"
MTAR Technologies Ltd,MTARTECH,"Industrial Machinery","7364.153681310001"
Pearl Global Industries Ltd,PGIL,"Apparel & Accessories","7333.59686904"
Thyrocare Technologies Ltd,THYROCARE,"Hospitals & Diagnostic Centres","7330.191679005"
Garware Hi-Tech Films Ltd,GRWRHITECH,"Commodity Chemicals","7285.446434460001"
Galaxy Surfactants Ltd,GALAXYSURF,"Specialty Chemicals","7282.4060608"
Atlanta Electricals Ltd,ATLANTAELE,"Electrical Components & Equipments","7231.743098125"
Happiest Minds Technologies Ltd,HAPPSTMNDS,"IT Services & Consulting","7171.637225580001"
Mrs. Bectors Food Specialities Ltd,BECTORFOOD,"FMCG - Foods","7171.3002992"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,"Fertilizers & Agro Chemicals","7168.501220155001"
CSB Bank Ltd,CSBBANK,"Private Banks","7125.68597952"
Tanla Platforms Ltd,TANLA,"Software Services","7123.91905323"
Kalpataru Ltd,KALPATARU,"Real Estate","7091.67791892"
Gujarat State Fertilizers & Chemicals Ltd,GSFC,"Fertilizers & Agro Chemicals","7090.50916882"
Reliance Infrastructure Ltd,RELINFRA,"Power Infrastructure","7069.698280080001"
Equitas Small Finance Bank Ltd,EQUITASBNK,"Private Banks","7066.759737135"
Sudeep Pharma Ltd,SUDEEPPHRM,"Pharmaceuticals","7031.05190625"
Swan Defence and Heavy Industries Ltd,SWANDEF,"Shipbuilding","6965.1070515"
Balu Forge Industries Ltd,BALUFORGE,"Construction & Engineering","6963.1952115"
Prism Johnson Ltd,PRSMJOHNSN,"Cement","6958.9047185"
Garware Technical Fibres Ltd,GARFIBRES,"Textiles","6941.164211625"
Welspun Enterprises Ltd,WELENT,"Construction & Engineering","6914.9845098"
Arvind Fashions Ltd,ARVINDFASN,"Textiles","6912.31722097"
India Glycols Ltd,INDIAGLYCO,"Commodity Chemicals","6886.3298361"
Maple Infrastructure Trust,MIT,"Roads","6883.577792"
Akums Drugs and Pharmaceuticals Ltd,AKUMS,"Pharmaceuticals","6834.4758691199995"
RedTape,REDTAPE,"Retail - Apparel","6809.4840168"
PC Jeweller Ltd,PCJEWELLER,"Precious Metals, Jewellery & Watches","6800.84322544"
EPL Ltd,EPL,"Packaging","6796.005820815"
Kirloskar Pneumatic Company Ltd,KIRLPNU,"Industrial Machinery","6785.5377591"
Network18 Media & Investments Ltd,NETWORK18,"Movies & TV Serials","6775.548079092"
SBI Gold ETF,SETFGOLD,"Gold","6771.6343504"
AJAX Engineering Ltd,AJAXENGG,"Construction & Engineering","6767.734254"
Tips Music Ltd,TIPSMUSIC,"Movies & TV Serials","6754.6212156"
Ahluwalia Contracts (India) Ltd,AHLUCONT,"Construction & Engineering","6746.3171676"
Aarti Pharmalabs Ltd,AARTIPHARM,"Labs & Life Sciences Services","6730.5615795"
Saregama India Ltd,SAREGAMA,"Movies & TV Serials","6728.58009185"
Ganesh Housing Ltd,GANESHHOU,"Real Estate","6697.6510688"
Cera Sanitaryware Ltd,CERA,"Building Products - Ceramics","6680.9191878"
Isgec Heavy Engineering Ltd,ISGEC,"Heavy Machinery","6665.81772905"
Thomas Cook (India) Ltd,THOMASCOOK,"Tour & Travel Services","6654.1614038650005"
Mastek Ltd,MASTEK,"IT Services & Consulting","6646.324199109999"
Keystone Realtors Ltd,RUSTOMJEE,"Real Estate","6641.624439605001"
F D C Ltd,FDC,"Pharmaceuticals","6630.4406709"
Yatharth Hospital & Trauma Care Services Ltd,YATHARTH,"Hospitals & Diagnostic Centres","6607.98180306"
Fujiyama Power Systems Ltd,UTLSOLAR,"Renewable Energy Equipment & Services","6594.882532482"
Nippon India ETF Nifty 50 BeES,NIFTYBEES,"Equity","6566.940502156"
